Component,Date,Scale_value(min/mm),Decimal_year,Month
D,1964-01-17,1.0,1964.0437158469945,1
D,1964-02-25,1.014,1964.1502732240438,2
D,1964-03-28,1.007,1964.2377049180327,3
D,1964-04-18,1.009,1964.295081967213,4
D,1964-05-21,1.008,1964.3852459016393,5
D,1964-06-23,1.008,1964.4754098360656,6
D,1964-07-28,1.001,1964.5710382513662,7
D,1964-09-21,1.004,1964.72131147541,9
D,1964-10-22,1.009,1964.8060109289618,10
D,1964-11-25,0.996,1964.8989071038252,11
D,1964-12-31,1.008,1964.9972677595629,12
