Datetime,Decimal_years,Candidate_baseline_H,Candidate_scale_value_h,Distances_mm,Calculated_HMV_nT
1964-09-13 00:00:00,1964.6994535519125,28222.826621857923,3.1353791256830164,-37.1,28106.50405629508
1964-09-13 01:00:00,1964.699567395264,28222.82685667919,3.1353992869990748,-37.2,28106.190003202824
1964-09-13 02:00:00,1964.6996812386158,28222.827091500454,3.135419448315133,-37.6,28104.935320243807
1964-09-13 03:00:00,1964.6997950819673,28222.82732632172,3.1354396096311348,-37.0,28106.816060765366
1964-09-13 04:00:00,1964.6999089253188,28222.827561142985,3.135459770947193,-36.2,28109.323917434696
1964-09-13 05:00:00,1964.7000227686704,28222.82779596425,3.1354799322631948,-36.0,28109.950518402777
1964-09-13 06:00:00,1964.7001366120219,28222.828030785517,3.135500093579253,-36.1,28109.636477407304
1964-09-13 07:00:00,1964.7002504553734,28222.828265606782,3.1355202548952548,-36.2,28109.322432379573
1964-09-13 08:00:00,1964.700364298725,28222.828500428048,3.1355404162112563,-36.4,28108.69482927796
1964-09-13 09:00:00,1964.7004781420765,28222.828735249317,3.1355605775273148,-36.6,28108.067218111817
1964-09-13 10:00:00,1964.700591985428,28222.828970070583,3.1355807388433163,-36.7,28107.753156955034
1964-09-13 11:00:00,1964.7007058287795,28222.82920489185,3.1356009001593748,-36.4,28108.693332126048
1964-09-13 12:00:00,1964.700819672131,28222.829439713114,3.1356210614753763,-36.5,28108.379270969264
1964-09-13 13:00:00,1964.7009335154828,28222.82967453438,3.1356412227914348,-36.6,28108.065205780214
1964-09-13 14:00:00,1964.7010473588343,28222.829909355645,3.135661384107493,-36.7,28107.7511365589
1964-09-13 15:00:00,1964.7011612021859,28222.83014417691,3.1356815454234948,-36.7,28107.75063145987
1964-09-13 16:00:00,1964.7012750455374,28222.830378998176,3.135701706739553,-36.5,28108.377266702184
1964-09-13 17:00:00,1964.701388888889,28222.830613819442,3.1357218680555548,-36.4,28108.69033782222
1964-09-13 18:00:00,1964.7015027322404,28222.830848640708,3.1357420293715563,-36.7,28107.749116162773
1964-09-13 19:00:00,1964.701616575592,28222.831083461977,3.1357621906876147,-36.4,28108.689339720946
1964-09-13 20:00:00,1964.7017304189435,28222.831318283243,3.1357823520036163,-36.5,28108.37526243511
1964-09-13 21:00:00,1964.701844262295,28222.83155310451,3.1358025133196747,-36.3,28109.001921871004
1964-09-13 22:00:00,1964.7019581056466,28222.831787925774,3.1358226746356763,-36.3,28109.0014248365
1964-09-13 23:00:00,1964.702071948998,28222.83202274704,3.135842835951678,-35.2,28112.45035492154
