Datetime_GMT0,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-01-04 18:00:00,4,nan,nan,nan,nan,18,91,WDC
1964-01-04 19:00:00,4,nan,nan,nan,nan,19,92,WDC
1964-01-04 20:00:00,4,nan,nan,nan,nan,20,93,WDC
1964-01-04 21:00:00,4,nan,nan,nan,nan,21,94,WDC
1964-01-04 22:00:00,4,nan,nan,nan,nan,22,95,WDC
1964-01-04 23:00:00,4,nan,nan,nan,nan,23,96,WDC
1964-01-05 00:00:00,5,nan,nan,nan,nan,0,97,WDC
1964-01-05 01:00:00,5,nan,nan,nan,nan,1,98,WDC
1964-01-05 02:00:00,5,nan,nan,nan,nan,2,99,WDC
1964-01-05 03:00:00,5,nan,nan,nan,nan,3,100,WDC
1964-01-05 04:00:00,5,nan,nan,nan,nan,4,101,WDC
1964-01-05 05:00:00,5,nan,nan,nan,nan,5,102,WDC
1964-01-05 06:00:00,5,nan,nan,nan,nan,6,103,WDC
1964-01-05 07:00:00,5,nan,nan,nan,nan,7,104,WDC
1964-01-05 08:00:00,5,nan,nan,nan,nan,8,105,WDC
1964-01-05 09:00:00,5,nan,nan,nan,nan,9,106,WDC
1964-01-05 10:00:00,5,nan,nan,nan,nan,10,107,WDC
1964-01-05 11:00:00,5,nan,nan,nan,nan,11,108,WDC
1964-01-05 12:00:00,5,nan,nan,nan,nan,12,109,WDC
1964-01-05 13:00:00,5,nan,nan,nan,nan,13,110,WDC
1964-01-05 14:00:00,5,nan,nan,nan,nan,14,111,WDC
1964-01-05 15:00:00,5,nan,nan,nan,nan,15,112,WDC
1964-01-05 16:00:00,5,nan,nan,nan,nan,16,113,WDC
1964-01-05 17:00:00,5,nan,nan,nan,nan,17,114,WDC
1964-01-05 18:00:00,5,nan,nan,nan,nan,18,115,WDC
1964-01-05 19:00:00,5,nan,nan,nan,nan,19,116,WDC
1964-01-05 20:00:00,5,nan,nan,nan,nan,20,117,WDC
1964-01-05 21:00:00,5,nan,nan,nan,nan,21,118,WDC
1964-01-05 22:00:00,5,nan,nan,nan,nan,22,119,WDC
1964-01-05 23:00:00,5,nan,nan,nan,nan,23,120,WDC
1964-01-06 00:00:00,6,nan,nan,nan,nan,0,121,WDC
1964-01-06 01:00:00,6,nan,nan,nan,nan,1,122,WDC
1964-01-06 02:00:00,6,nan,nan,nan,nan,2,123,WDC
1964-01-06 03:00:00,6,nan,nan,nan,nan,3,124,WDC
1964-01-06 04:00:00,6,nan,nan,nan,nan,4,125,WDC
1964-01-06 05:00:00,6,nan,nan,nan,nan,5,126,WDC
1964-01-06 06:00:00,6,nan,nan,nan,nan,6,127,WDC
1964-01-06 07:00:00,6,nan,nan,nan,nan,7,128,WDC
1964-01-06 08:00:00,6,nan,nan,nan,nan,8,129,WDC
1964-01-06 09:00:00,6,nan,nan,nan,nan,9,130,WDC
1964-01-06 10:00:00,6,nan,nan,nan,nan,10,131,WDC
1964-01-06 11:00:00,6,nan,nan,nan,nan,11,132,WDC
1964-01-06 12:00:00,6,nan,nan,nan,nan,12,133,WDC
1964-01-06 13:00:00,6,nan,nan,nan,nan,13,134,WDC
1964-01-06 14:00:00,6,nan,nan,nan,nan,14,135,WDC
1964-01-06 15:00:00,6,nan,nan,nan,nan,15,136,WDC
1964-01-06 16:00:00,6,nan,nan,nan,nan,16,137,WDC
1964-01-06 17:00:00,6,nan,nan,nan,nan,17,138,WDC
1964-01-06 18:00:00,6,nan,nan,nan,nan,18,139,WDC
1964-01-06 19:00:00,6,nan,nan,nan,nan,19,140,WDC
1964-01-06 20:00:00,6,nan,nan,nan,nan,20,141,WDC
1964-01-06 21:00:00,6,nan,nan,nan,nan,21,142,WDC
1964-01-06 22:00:00,6,nan,nan,nan,nan,22,143,WDC
1964-01-06 23:00:00,6,nan,nan,nan,nan,23,144,WDC
1964-01-07 00:00:00,7,nan,nan,nan,nan,0,145,WDC
1964-01-07 01:00:00,7,nan,nan,nan,nan,1,146,WDC
1964-01-07 02:00:00,7,nan,nan,nan,nan,2,147,WDC
1964-01-07 03:00:00,7,nan,nan,nan,nan,3,148,WDC
1964-01-07 04:00:00,7,nan,nan,nan,nan,4,149,WDC
1964-01-07 05:00:00,7,nan,nan,nan,nan,5,150,WDC
1964-01-07 06:00:00,7,nan,nan,nan,nan,6,151,WDC
1964-01-07 07:00:00,7,nan,nan,nan,nan,7,152,WDC
1964-01-07 08:00:00,7,nan,nan,nan,nan,8,153,WDC
1964-01-07 09:00:00,7,nan,nan,nan,nan,9,154,WDC
1964-01-07 10:00:00,7,nan,nan,nan,nan,10,155,WDC
1964-01-07 11:00:00,7,nan,nan,nan,nan,11,156,WDC
1964-01-07 12:00:00,7,nan,nan,nan,nan,12,157,WDC
1964-01-07 13:00:00,7,nan,nan,nan,nan,13,158,WDC
1964-01-07 14:00:00,7,nan,nan,nan,nan,14,159,WDC
1964-01-07 15:00:00,7,nan,nan,nan,nan,15,160,WDC
1964-01-07 16:00:00,7,nan,nan,nan,nan,16,161,WDC
1964-01-07 17:00:00,7,nan,nan,nan,nan,17,162,WDC
1964-01-07 18:00:00,7,nan,nan,nan,nan,18,163,WDC
1964-01-07 19:00:00,7,nan,nan,nan,nan,19,164,WDC
1964-01-07 20:00:00,7,nan,nan,nan,nan,20,165,WDC
1964-01-07 21:00:00,7,nan,nan,nan,nan,21,166,WDC
1964-01-07 22:00:00,7,nan,nan,nan,nan,22,167,WDC
1964-01-07 23:00:00,7,nan,nan,nan,nan,23,168,WDC
1964-01-08 00:00:00,8,nan,nan,nan,nan,0,169,WDC
1964-01-08 01:00:00,8,nan,nan,nan,nan,1,170,WDC
1964-01-08 02:00:00,8,nan,nan,nan,nan,2,171,WDC
1964-01-08 03:00:00,8,nan,nan,nan,nan,3,172,WDC
1964-01-08 04:00:00,8,nan,nan,nan,nan,4,173,WDC
1964-01-08 05:00:00,8,nan,nan,nan,nan,5,174,WDC
1964-01-08 06:00:00,8,nan,nan,nan,nan,6,175,WDC
1964-01-08 07:00:00,8,nan,nan,nan,nan,7,176,WDC
1964-01-08 08:00:00,8,nan,nan,nan,nan,8,177,WDC
1964-01-08 09:00:00,8,nan,nan,nan,nan,9,178,WDC
1964-01-08 10:00:00,8,nan,nan,nan,nan,10,179,WDC
1964-01-08 11:00:00,8,nan,nan,nan,nan,11,180,WDC
1964-01-08 12:00:00,8,nan,nan,nan,nan,12,181,WDC
1964-01-08 13:00:00,8,nan,nan,nan,nan,13,182,WDC
1964-01-08 14:00:00,8,nan,nan,nan,nan,14,183,WDC
1964-01-08 15:00:00,8,nan,nan,nan,nan,15,184,WDC
1964-01-08 16:00:00,8,nan,nan,nan,nan,16,185,WDC
1964-01-08 17:00:00,8,nan,nan,nan,nan,17,186,WDC
1964-01-08 18:00:00,8,nan,nan,nan,nan,18,187,WDC
1964-01-08 19:00:00,8,nan,nan,nan,nan,19,188,WDC
1964-01-08 20:00:00,8,nan,nan,nan,nan,20,189,WDC
1964-01-08 21:00:00,8,nan,nan,nan,nan,21,190,WDC
1964-01-08 22:00:00,8,nan,nan,nan,nan,22,191,WDC
1964-01-08 23:00:00,8,nan,nan,nan,nan,23,192,WDC
1964-01-09 00:00:00,9,nan,nan,nan,nan,0,193,WDC
1964-01-09 01:00:00,9,nan,nan,nan,nan,1,194,WDC
1964-01-09 02:00:00,9,nan,nan,nan,nan,2,195,WDC
1964-01-09 03:00:00,9,nan,nan,nan,nan,3,196,WDC
1964-01-09 04:00:00,9,nan,nan,nan,nan,4,197,WDC
1964-01-09 05:00:00,9,nan,nan,nan,nan,5,198,WDC
1964-01-09 06:00:00,9,nan,nan,nan,nan,6,199,WDC
1964-01-09 07:00:00,9,nan,nan,nan,nan,7,200,WDC
1964-01-09 08:00:00,9,nan,nan,nan,nan,8,201,WDC
1964-01-09 09:00:00,9,nan,nan,nan,nan,9,202,WDC
1964-01-09 10:00:00,9,nan,nan,nan,nan,10,203,WDC
1964-01-09 11:00:00,9,nan,nan,nan,nan,11,204,WDC
1964-01-09 12:00:00,9,nan,nan,nan,nan,12,205,WDC
1964-01-09 13:00:00,9,nan,nan,nan,nan,13,206,WDC
1964-01-09 14:00:00,9,nan,nan,nan,nan,14,207,WDC
1964-01-09 15:00:00,9,nan,nan,nan,nan,15,208,WDC
1964-01-09 16:00:00,9,nan,nan,nan,nan,16,209,WDC
1964-01-09 17:00:00,9,nan,nan,nan,nan,17,210,WDC
1964-01-09 18:00:00,9,nan,nan,nan,nan,18,211,WDC
1964-01-09 19:00:00,9,nan,nan,nan,nan,19,212,WDC
